"ENSG00000224870",170,153,221,414,228,131,298,361,350,311
"ENSG00000242485",246,252,687,1187,748,303,1083,960,1028,800
"ENSG00000272455",44,48,85,96,89,34,73,123,123,90
"ENSG00000235098",354,261,709,753,683,186,910,716,853,590
"ENSG00000225905",8,5,12,22,9,4,17,9,12,7
"ENSG00000205116",156,166,349,299,277,41,395,211,525,351
"ENSG00000225285",13,8,9,23,14,9,22,17,43,9
"ENSG00000179403",949,592,1287,1223,905,497,1619,1064,2909,1033
"ENSG00000215915",97,135,293,73,97,73,290,102,189,126
"ENSG00000160072",540,762,1172,1426,985,354,1053,1331,1633,1140
"ENSG00000197785",280,316,642,764,632,222,704,791,756,723
"ENSG00000205090",173,247,799,763,779,168,715,834,612,795
"ENSG00000160075",886,896,2482,2932,2157,922,3176,2850,2772,2319
"ENSG00000215014",16,41,48,49,34,8,41,29,27,37
"ENSG00000279244",1,0,0,0,0,0,0,0,0,0
"ENSG00000274481",0,0,0,2,0,0,0,0,0,0
"ENSG00000280747",1,0,0,0,0,0,0,0,0,0
"ENSG00000228594",363,694,1219,1171,941,335,1126,1138,992,810
"ENSG00000272106",256,362,758,629,490,190,615,555,595,496
"ENSG00000197530",1335,1977,4428,4244,3354,1187,4920,4183,4256,3861
"ENSG00000189409",4,20,9,9,6,8,19,11,21,15
"ENSG00000248333",735,1111,1479,1401,1134,610,1657,1341,1352,1077
"ENSG00000272004",0,0,2,0,1,1,0,0,2,0
"ENSG00000189339",374,593,841,1661,1466,411,1830,1817,1403,1735
"ENSG00000269737",11,15,22,37,30,9,26,47,33,39
"ENSG00000269227",3,3,7,14,11,3,9,12,10,16
"ENSG00000215914",0,4,0,2,4,2,6,5,5,1
"ENSG00000008128",17,25,65,34,20,10,79,63,49,21
"ENSG00000268575",17,77,39,90,115,33,128,134,99,28
"ENSG00000227775",83,152,183,271,241,71,336,462,304,130
"ENSG00000215790",49,49,152,146,111,34,235,174,138,82
"ENSG00000008130",359,227,373,774,754,274,961,955,821,796
"ENSG00000078369",2853,3183,8066,12088,10153,3027,13652,14213,9346,11314
"ENSG00000231050",11,13,30,50,21,6,33,41,32,43
"ENSG00000169885",25,44,90,64,41,33,83,54,54,44
"ENSG00000178821",13,35,65,52,40,10,51,39,58,33
"ENSG00000142609",86,212,494,491,400,78,450,455,334,442
"ENSG00000233542",17,50,71,139,58,15,62,139,56,125
"ENSG00000187730",322,1041,2767,5247,3945,429,3041,6079,3482,4233
"ENSG00000226969",0,0,0,0,0,0,0,1,0,0
"ENSG00000067606",188,260,734,1758,1515,151,1264,1990,1128,1721
"ENSG00000271806",14,37,35,34,31,12,24,33,32,25
"ENSG00000182873",75,102,225,208,200,49,223,223,218,231
"ENSG00000162585",385,678,917,898,620,311,1061,972,877,709
"ENSG00000234396",6,24,10,4,5,12,6,6,3,3
"ENSG00000277082",2,6,2,1,2,1,4,2,3,1
"ENSG00000157933",806,699,1781,2358,2238,893,3245,3036,2156,2491
"ENSG00000116151",157,225,448,510,474,103,425,496,538,474
"ENSG00000272161",11,19,27,14,19,5,29,17,20,23
"ENSG00000269896",15,54,104,98,89,32,127,142,127,138
"ENSG00000272420",22,44,111,89,43,22,80,88,88,38
"ENSG00000157916",426,277,690,1038,883,306,1194,1172,1128,1026
"ENSG00000157911",188,95,208,468,370,138,602,503,317,367
"ENSG00000149527",316,721,1691,1520,1176,316,1954,2573,1394,1937
"ENSG00000224387",1,7,15,21,10,6,8,29,8,35
"ENSG00000229393",8,19,12,33,20,1,11,59,10,40
"ENSG00000157881",158,145,454,679,700,166,877,904,658,717
"ENSG00000197921",165,60,114,141,82,26,375,183,30,102
"ENSG00000272449",113,161,208,135,143,72,286,157,164,121
"ENSG00000238164",15,14,23,32,19,8,26,42,28,33
"ENSG00000157873",333,400,853,719,673,203,844,837,832,692
"ENSG00000225931",5,5,6,4,6,2,2,8,9,8
"ENSG00000228037",2,8,11,9,6,6,5,5,13,2
"ENSG00000157870",277,408,1260,1393,1269,329,1690,1610,1246,1372
"ENSG00000142606",6,1,8,16,15,2,34,10,43,10
"ENSG00000237058",0,0,0,0,0,0,0,1,0,0
"ENSG00000215912",38,30,48,85,62,20,97,65,40,63
"ENSG00000169717",0,0,0,0,0,0,0,0,0,0
"ENSG00000177133",1106,497,996,649,964,803,1985,1334,1109,1002
"ENSG00000142611",476,210,382,427,476,360,993,567,494,558
