"","SamplesName","SubjectName","nCount_RNA","nFeature_RNA","priCluster","Age_in_Weeks","Area","Period","protocal","dataset","Age","Sex","cluster1","Age_in_days","cluster","WGCNAcluster","RegionName","Laminae","cellType","cellType_sub","deconv_clust"
"1","S95.G5","Sample37",853099.333876404,1391,"",13,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1a",91,"ExN","","Cortex","All","ExN","ExN1a","Neuro"
"2","O9.C2","Sample5",902088.063015455,2448,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","VZ","ExN","ExN1_4","Neuro"
"3","O9.C4","Sample5",894120.012234822,3255,"IPC-nEN1",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","IPC-nEN1","Cortex","VZ","ExN","ExN1_4","Neuro"
"4","O9.B6","Sample5",903843.502870916,2425,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","VZ","ExN","ExN1_4","Neuro"
"5","O9.D6","Sample5",913815.686545036,2146,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","VZ","ExN","ExN1_4","Neuro"
"6","O9.G6","Sample5",885801.063480447,1752,"IN-CTX-MGE1",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","IN-CTX-MGE1","Cortex","VZ","ExN","ExN1_4","Neuro"
"7","O9.E11","Sample5",921461.470353297,1202,"IN-CTX-CGE1",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","IN-CTX-CGE1","Cortex","VZ","ExN","ExN1_4","Neuro"
"8","O9.B12","Sample5",864418.125225354,2390,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","VZ","ExN","ExN1_4","Neuro"
"9","O9.E12","Sample5",896730.773550833,2679,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","VZ","ExN","ExN1_4","Neuro"
"10","O10.F1","Sample5",917980.335004555,2319,"IPC-nEN2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","IPC-nEN2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"11","O10.B2","Sample5",891994.080023234,2684,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"12","O10.G2","Sample5",896410.138476696,1878,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"13","O10.A3","Sample5",845256.758173508,2388,"",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","","Cortex","SVZ","ExN","ExN1_4","Neuro"
"14","O10.F4","Sample5",899134.619389054,1717,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"15","O10.H4","Sample5",899159.402081899,1657,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"16","O10.A5","Sample5",895648.215472667,2999,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"17","O10.D5","Sample5",889586.922017438,2701,"EN-PFC3",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","EN-PFC3","Cortex","SVZ","ExN","ExN1_4","Neuro"
"18","O10.F5","Sample5",887157.911738887,2280,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"19","O10.G5","Sample5",896902.062603307,2164,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"20","O10.B6","Sample5",912800.139612556,2297,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"21","O10.C6","Sample5",886460.505383106,2709,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"22","O10.D6","Sample5",895659.732509063,2569,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"23","O10.E6","Sample5",901817.07665274,2460,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"24","O10.B7","Sample5",896909.451114048,2977,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"25","O10.G7","Sample5",898510.909475708,2648,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"26","O10.E8","Sample5",875232.907302035,1694,"IPC-nEN2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","IPC-nEN2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"27","O10.D9","Sample5",906225.207054077,2334,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"28","O10.F9","Sample5",902184.522869944,2510,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"29","O10.B10","Sample5",905274.62624268,2746,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"30","O10.A11","Sample5",902661.021413513,2374,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"31","O10.B11","Sample5",905242.573418958,2708,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"32","O10.D11","Sample5",883711.505415437,2244,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"33","O10.C12","Sample5",913000.011589906,2873,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"34","O10.E12","Sample5",892911.589296889,2762,"nEN-early2",14.7,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",102.9,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"35","O11.G1","Sample6",871601.144534623,1424,"MGE-IPC3",16,"MGE","P5","Fluidigm C1","h1",NA,"Male","ExN1_4",112,"ExN","MGE-IPC3","GE","0","ExN","ExN1_4","Neuro"
"36","O11.A5","Sample6",903048.905928799,1116,"nIN5",16,"MGE","P5","Fluidigm C1","h1",NA,"Male","ExN1_4",112,"ExN","nIN5","GE","0","ExN","ExN1_4","Neuro"
"37","O11.H5","Sample6",882343.844065529,1039,"nIN4",16,"MGE","P5","Fluidigm C1","h1",NA,"Male","ExN1_4",112,"ExN","nIN4","GE","0","ExN","ExN1_4","Neuro"
"38","O11.B6","Sample6",904663.940776429,1040,"nIN5",16,"MGE","P5","Fluidigm C1","h1",NA,"Male","ExN1_4",112,"ExN","nIN5","GE","0","ExN","ExN1_4","Neuro"
"39","O11.G6","Sample6",882828.875709104,1366,"nIN5",16,"MGE","P5","Fluidigm C1","h1",NA,"Male","ExN1_4",112,"ExN","nIN5","GE","0","ExN","ExN1_4","Neuro"
"40","O11.C11","Sample6",877281.455625705,1021,"nIN5",16,"MGE","P5","Fluidigm C1","h1",NA,"Male","ExN1_4",112,"ExN","nIN5","GE","0","ExN","ExN1_4","Neuro"
"41","O11.H11","Sample6",900242.475283702,1305,"nIN5",16,"MGE","P5","Fluidigm C1","h1",NA,"Male","ExN1_4",112,"ExN","nIN5","GE","0","ExN","ExN1_4","Neuro"
"42","O12.F3","Sample7",887166.415928123,1537,"nEN-late",14,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",98,"ExN","nEN-late","Cortex","SVZ","ExN","ExN1_4","Neuro"
"43","O12.H3","Sample7",849031.045545402,1743,"nEN-early2",14,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",98,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"44","O12.F4","Sample7",883806.034629938,1369,"nEN-late",14,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",98,"ExN","nEN-late","Cortex","SVZ","ExN","ExN1_4","Neuro"
"45","O12.A5","Sample7",888169.403906142,1137,"IN-CTX-CGE1",14,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",98,"ExN","IN-CTX-CGE1","Cortex","SVZ","ExN","ExN1_4","Neuro"
"46","O12.D5","Sample7",880865.711872726,2195,"nEN-early2",14,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",98,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"47","O12.A6","Sample7",883344.59740974,2007,"nEN-early2",14,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",98,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"48","O12.E6","Sample7",873713.562059569,2160,"nEN-early2",14,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",98,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"49","O12.H6","Sample7",898755.116101652,2843,"EN-V1-2",14,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",98,"ExN","EN-V1-2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"50","O13.A2","Sample6",917810.34127314,1281,"nIN5",16,"MGE","P5","Fluidigm C1","h1",NA,"Male","ExN1_4",112,"ExN","nIN5","GE","0","ExN","ExN1_4","Neuro"
"51","O13.B10","Sample6",917725.483661112,1229,"nIN5",16,"MGE","P5","Fluidigm C1","h1",NA,"Male","ExN1_4",112,"ExN","nIN5","GE","0","ExN","ExN1_4","Neuro"
"52","O13.B12","Sample6",917351.261624142,1524,"nIN5",16,"MGE","P5","Fluidigm C1","h1",NA,"Male","ExN1_4",112,"ExN","nIN5","GE","0","ExN","ExN1_4","Neuro"
"53","S1.A2","Sample9",876329.237858513,1580,"IN-STR",11,"MGE","P3","Fluidigm C1","h1",NA,"Male","ExN1_4",77,"ExN","IN-STR","GE","0","ExN","ExN1_4","Neuro"
"54","S1.G4","Sample9",873825.077642197,1425,"nIN3",11,"MGE","P3","Fluidigm C1","h1",NA,"Male","ExN1_4",77,"ExN","nIN3","GE","0","ExN","ExN1_4","Neuro"
"55","S1.F9","Sample9",889328.306832201,2876,"EN-PFC3",11,"PFC","P3","Fluidigm C1","h1",NA,"Male","ExN1_4",77,"ExN","EN-PFC3","Cortex","All","ExN","ExN1_4","Neuro"
"56","S1.G10","Sample9",889211.518094954,2631,"nEN-early1",11,"PFC","P3","Fluidigm C1","h1",NA,"Male","ExN1_4",77,"ExN","nEN-early1","Cortex","All","ExN","ExN1_4","Neuro"
"57","S1.A11","Sample9",899154.861689973,3106,"EN-V1-2",11,"PFC","P3","Fluidigm C1","h1",NA,"Male","ExN1_4",77,"ExN","EN-V1-2","Cortex","All","ExN","ExN1_4","Neuro"
"58","S1.B12","Sample9",889133.034097392,2410,"nEN-early2",11,"PFC","P3","Fluidigm C1","h1",NA,"Male","ExN1_4",77,"ExN","nEN-early2","Cortex","All","ExN","ExN1_4","Neuro"
"59","S1.C12","Sample9",918399.002474055,2466,"nEN-early2",11,"PFC","P3","Fluidigm C1","h1",NA,"Male","ExN1_4",77,"ExN","nEN-early2","Cortex","All","ExN","ExN1_4","Neuro"
"60","S1.D12","Sample9",916539.702414579,2080,"nEN-early2",11,"PFC","P3","Fluidigm C1","h1",NA,"Male","ExN1_4",77,"ExN","nEN-early2","Cortex","All","ExN","ExN1_4","Neuro"
"61","S2.A2","Sample9",859043.056385815,2121,"IPC-nEN1",11,"PFC","P3","Fluidigm C1","h1",NA,"Male","ExN1_4",77,"ExN","IPC-nEN1","Cortex","All","ExN","ExN1_4","Neuro"
"62","S14.C11","Sample11",911859.465937364,2399,"nEN-early2",19,"PFC","P6","Fluidigm C1","h1",NA,"Male","ExN1_4",133,"ExN","nEN-early2","Cortex","CP","ExN","ExN1_4","Neuro"
"63","S14.A12","Sample11",900782.262704046,2730,"EN-PFC2",19,"PFC","P6","Fluidigm C1","h1",NA,"Male","ExN1_4",133,"ExN","EN-PFC2","Cortex","CP","ExN","ExN1_4","Neuro"
"64","S14.G12","Sample11",875440.766796594,2569,"nEN-early2",19,"PFC","P6","Fluidigm C1","h1",NA,"Male","ExN1_4",133,"ExN","nEN-early2","Cortex","CP","ExN","ExN1_4","Neuro"
"65","S15.A2","Sample12",893984.570647352,1512,"nIN3",13,"MGE","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",91,"ExN","nIN3","GE","0","ExN","ExN1_4","Neuro"
"66","S15.A3","Sample12",892678.895659162,1315,"nIN3",13,"MGE","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",91,"ExN","nIN3","GE","0","ExN","ExN1_4","Neuro"
"67","S15.G4","Sample12",921543.337089982,1769,"nIN3",13,"MGE","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",91,"ExN","nIN3","GE","0","ExN","ExN1_4","Neuro"
"68","S15.B5","Sample12",884600.928645249,1727,"nIN3",13,"MGE","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",91,"ExN","nIN3","GE","0","ExN","ExN1_4","Neuro"
"69","S16.B7","Sample12",915265.255755314,2445,"nEN-early2",13,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",91,"ExN","nEN-early2","Cortex","VZ","ExN","ExN1_4","Neuro"
"70","S16.G9","Sample12",907123.727797966,1850,"nEN-early2",13,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",91,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"71","S16.F10","Sample12",881640.153979245,1769,"nEN-late",13,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",91,"ExN","nEN-late","Cortex","SVZ","ExN","ExN1_4","Neuro"
"72","S16.B11","Sample12",889794.180266481,2300,"nEN-early2",13,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",91,"ExN","nEN-early2","Cortex","SVZ","ExN","ExN1_4","Neuro"
"73","S16.A12","Sample12",897888.562025557,1212,"nEN-late",13,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",91,"ExN","nEN-late","Cortex","SVZ","ExN","ExN1_4","Neuro"
"74","S17.H1","Sample12",906873.10092421,3184,"EN-PFC3",13,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",91,"ExN","EN-PFC3","Cortex","CP","ExN","ExN1_4","Neuro"
"75","S17.A3","Sample12",888377.833687374,3594,"EN-PFC2",13,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",91,"ExN","EN-PFC2","Cortex","CP","ExN","ExN1_4","Neuro"
"76","S17.F3","Sample12",889918.830883421,3243,"EN-PFC2",13,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",91,"ExN","EN-PFC2","Cortex","CP","ExN","ExN1_4","Neuro"
"77","S17.B5","Sample12",891625.120911776,3329,"EN-PFC3",13,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",91,"ExN","EN-PFC3","Cortex","CP","ExN","ExN1_4","Neuro"
"78","S17.A7","Sample12",894842.159015456,2792,"nEN-early2",13,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",91,"ExN","nEN-early2","Cortex","CP","ExN","ExN1_4","Neuro"
"79","S17.C8","Sample12",895384.391505391,3029,"EN-PFC3",13,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",91,"ExN","EN-PFC3","Cortex","CP","ExN","ExN1_4","Neuro"
"80","S17.D8","Sample12",904093.445638127,3231,"EN-PFC2",13,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",91,"ExN","EN-PFC2","Cortex","CP","ExN","ExN1_4","Neuro"
"81","S17.B9","Sample12",899404.251868919,3129,"EN-PFC2",13,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",91,"ExN","EN-PFC2","Cortex","CP","ExN","ExN1_4","Neuro"
"82","S17.E9","Sample12",886440.349120259,3157,"EN-PFC3",13,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",91,"ExN","EN-PFC3","Cortex","CP","ExN","ExN1_4","Neuro"
"83","S17.C10","Sample12",897103.76357323,2059,"EN-PFC3",13,"PFC","P4","Fluidigm C1","h1",NA,"Male","ExN1_4",91,"ExN","EN-PFC3","Cortex","CP","ExN","ExN1_4","Neuro"
"84","S17.D10","Sample11",899301.531941005,2314,"IN-STR",19,"MGE","P6","Fluidigm C1","h1",NA,"Male","ExN1_4",133,"ExN","IN-STR","GE","0","ExN","ExN1_4","Neuro"
"85","S17.H12","Sample11",891662.814962771,1750,"IN-CTX-MGE1",19,"MGE","P6","Fluidigm C1","h1",NA,"Male","ExN1_4",133,"ExN","IN-CTX-MGE1","GE","0","ExN","ExN1_4","Neuro"
"86","S19.D2","Sample11",895908.838110588,2345,"IN-CTX-CGE1",19,"MGE","P6","Fluidigm C1","h1",NA,"Male","ExN1_4",133,"ExN","IN-CTX-CGE1","GE","0","ExN","ExN1_4","Neuro"
"87","S19.G2","Sample11",901728.304510342,1507,"nIN5",19,"MGE","P6","Fluidigm C1","h1",NA,"Male","ExN1_4",133,"ExN","nIN5","GE","0","ExN","ExN1_4","Neuro"
"88","S19.G3","Sample11",883867.947523248,1449,"nIN3",19,"MGE","P6","Fluidigm C1","h1",NA,"Male","ExN1_4",133,"ExN","nIN3","GE","0","ExN","ExN1_4","Neuro"
"89","S20.D1","Sample13",903072.816092997,1120,"nEN-early2",14.2,"MGE","P4","Fluidigm C1","h1",NA,"Female","ExN1_4",99.4,"ExN","nEN-early2","GE","0","ExN","ExN1_4","Neuro"
"90","S20.H1","Sample13",867917.648658098,1143,"IPC-nEN2",14.2,"MGE","P4","Fluidigm C1","h1",NA,"Female","ExN1_4",99.4,"ExN","IPC-nEN2","GE","0","ExN","ExN1_4","Neuro"
"91","S20.A3","Sample13",882668.887422198,1376,"IN-STR",14.2,"MGE","P4","Fluidigm C1","h1",NA,"Female","ExN1_4",99.4,"ExN","IN-STR","GE","0","ExN","ExN1_4","Neuro"
"92","S20.B5","Sample13",878330.558782426,1284,"IN-STR",14.2,"MGE","P4","Fluidigm C1","h1",NA,"Female","ExN1_4",99.4,"ExN","IN-STR","GE","0","ExN","ExN1_4","Neuro"
"93","S20.F8","Sample13",912167.953996629,2833,"EN-PFC2",14.2,"PFC","P4","Fluidigm C1","h1",NA,"Female","ExN1_4",99.4,"ExN","EN-PFC2","Cortex","All","ExN","ExN1_4","Neuro"
"94","S20.A9","Sample13",897921.622475424,1766,"IPC-nEN2",14.2,"PFC","P4","Fluidigm C1","h1",NA,"Female","ExN1_4",99.4,"ExN","IPC-nEN2","Cortex","All","ExN","ExN1_4","Neuro"
"95","S20.E9","Sample13",918610.251504277,2364,"EN-PFC2",14.2,"PFC","P4","Fluidigm C1","h1",NA,"Female","ExN1_4",99.4,"ExN","EN-PFC2","Cortex","All","ExN","ExN1_4","Neuro"
"96","S20.B10","Sample13",903958.288946431,1916,"EN-PFC3",14.2,"PFC","P4","Fluidigm C1","h1",NA,"Female","ExN1_4",99.4,"ExN","EN-PFC3","Cortex","All","ExN","ExN1_4","Neuro"
"97","S20.C10","Sample13",905874.144857499,2021,"nEN-early2",14.2,"PFC","P4","Fluidigm C1","h1",NA,"Female","ExN1_4",99.4,"ExN","nEN-early2","Cortex","All","ExN","ExN1_4","Neuro"
"98","S20.A12","Sample13",916289.812188452,1624,"IPC-nEN2",14.2,"PFC","P4","Fluidigm C1","h1",NA,"Female","ExN1_4",99.4,"ExN","IPC-nEN2","Cortex","All","ExN","ExN1_4","Neuro"
"99","S20.D12","Sample13",876871.525937724,1741,"nEN-early2",14.2,"PFC","P4","Fluidigm C1","h1",NA,"Female","ExN1_4",99.4,"ExN","nEN-early2","Cortex","All","ExN","ExN1_4","Neuro"
"100","S21.C1","Sample13",889843.52759464,1700,"nEN-early2",14.2,"PFC","P4","Fluidigm C1","h1",NA,"Female","ExN1_4",99.4,"ExN","nEN-early2","Cortex","All","ExN","ExN1_4","Neuro"
"101","S21.E1","Sample13",892016.360724182,1787,"nEN-late",14.2,"PFC","P4","Fluidigm C1","h1",NA,"Female","ExN1_4",99.4,"ExN","nEN-late","Cortex","All","ExN","ExN1_4","Neuro"
"102","S21.A2","Sample13",864548.493085942,2839,"nEN-early2",14.2,"PFC","P4","Fluidigm C1","h1",NA,"Female","ExN1_4",99.4,"ExN","nEN-early2","Cortex","All","ExN","ExN1_4","Neuro"
"103","S21.B2","Sample13",887657.342857403,1888,"nEN-early2",14.2,"PFC","P4","Fluidigm C1","h1",NA,"Female","ExN1_4",99.4,"ExN","nEN-early2","Cortex","All","ExN","ExN1_4","Neuro"
"104","S21.C2","Sample13",930865.15200794,1326,"EN-PFC3",14.2,"PFC","P4","Fluidigm C1","h1",NA,"Female","ExN1_4",99.4,"ExN","EN-PFC3","Cortex","All","ExN","ExN1_4","Neuro"
"105","S21.C3","Sample13",916480.024184898,1477,"nEN-late",14.2,"PFC","P4","Fluidigm C1","h1",NA,"Female","ExN1_4",99.4,"ExN","nEN-late","Cortex","All","ExN","ExN1_4","Neuro"
"106","S21.F3","Sample13",915396.898431026,2117,"nEN-early2",14.2,"PFC","P4","Fluidigm C1","h1",NA,"Female","ExN1_4",99.4,"ExN","nEN-early2","Cortex","All","ExN","ExN1_4","Neuro"
"107","S21.A4","Sample13",916143.653985304,2559,"EN-PFC2",14.2,"PFC","P4","Fluidigm C1","h1",NA,"Female","ExN1_4",99.4,"ExN","EN-PFC2","Cortex","All","ExN","ExN1_4","Neuro"
"108","S22.C10","Sample11",912391.109428138,2216,"EN-V1-2",19,"PFC","P6","Fluidigm C1","h1",NA,"Male","ExN1_4",133,"ExN","EN-V1-2","Cortex","CP","ExN","ExN1_4","Neuro"
"109","S22.D10","Sample11",909934.167319974,2341,"EN-V1-2",19,"PFC","P6","Fluidigm C1","h1",NA,"Male","ExN1_4",133,"ExN","EN-V1-2","Cortex","CP","ExN","ExN1_4","Neuro"
"110","S22.A11","Sample11",923390.521271204,2636,"EN-PFC3",19,"PFC","P6","Fluidigm C1","h1",NA,"Male","ExN1_4",133,"ExN","EN-PFC3","Cortex","CP","ExN","ExN1_4","Neuro"
"111","S22.H11","Sample11",897023.294345951,3141,"EN-V1-2",19,"PFC","P6","Fluidigm C1","h1",NA,"Male","ExN1_4",133,"ExN","EN-V1-2","Cortex","CP","ExN","ExN1_4","Neuro"
"112","S22.A12","Sample11",915401.758577353,3651,"EN-PFC2",19,"PFC","P6","Fluidigm C1","h1",NA,"Male","ExN1_4",133,"ExN","EN-PFC2","Cortex","CP","ExN","ExN1_4","Neuro"
"113","S24.F3","Sample14",895981.852921419,2406,"EN-PFC3",13.3,"PFC","P4","Fluidigm C1","h1",NA,"Female","ExN1_4",93.1,"ExN","EN-PFC3","Cortex","All","ExN","ExN1_4","Neuro"
"114","S24.E7","Sample14",887756.689119277,2478,"nEN-early2",13.3,"PFC","P4","Fluidigm C1","h1",NA,"Female","ExN1_4",93.1,"ExN","nEN-early2","Cortex","All","ExN","ExN1_4","Neuro"
"115","S24.F11","Sample14",892926.50102602,2714,"EN-PFC1",13.3,"PFC","P4","Fluidigm C1","h1",NA,"Female","ExN1_4",93.1,"ExN","EN-PFC1","Cortex","All","ExN","ExN1_4","Neuro"
"116","S24.G11","Sample14",918344.14390676,2087,"EN-PFC3",13.3,"PFC","P4","Fluidigm C1","h1",NA,"Female","ExN1_4",93.1,"ExN","EN-PFC3","Cortex","All","ExN","ExN1_4","Neuro"
"117","S24.B12","Sample14",909280.919134328,2982,"EN-V1-1",13.3,"PFC","P4","Fluidigm C1","h1",NA,"Female","ExN1_4",93.1,"ExN","EN-V1-1","Cortex","All","ExN","ExN1_4","Neuro"
"118","S25.B2","Sample14",883796.432085335,1923,"IN-STR",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","ExN1_4",93.1,"ExN","IN-STR","GE","0","ExN","ExN1_4","Neuro"
"119","S25.E2","Sample14",885083.494183484,1564,"nIN4",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","ExN1_4",93.1,"ExN","nIN4","GE","0","ExN","ExN1_4","Neuro"
"120","S25.B3","Sample14",895277.481226235,1372,"nIN1",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","ExN1_4",93.1,"ExN","nIN1","GE","0","ExN","ExN1_4","Neuro"
"121","S25.D4","Sample14",879382.164176326,1543,"nIN1",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","ExN1_4",93.1,"ExN","nIN1","GE","0","ExN","ExN1_4","Neuro"
"122","S25.D8","Sample14",882288.388848052,1489,"nIN1",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","ExN1_4",93.1,"ExN","nIN1","GE","0","ExN","ExN1_4","Neuro"
"123","S25.C9","Sample14",819387.200207973,2189,"nIN1",13.3,"MGE","P4","Fluidigm C1","h1",NA,"Female","ExN1_4",93.1,"ExN","nIN1","GE","0","ExN","ExN1_4","Neuro"
"124","S26.A1","Sample15",903681.706434635,2057,"nEN-early2",17.3,"PFC","P5","Fluidigm C1","h1",NA,"Female","ExN1_4",121.1,"ExN","nEN-early2","Cortex","All","ExN","ExN1_4","Neuro"
"125","S26.F1","Sample15",905133.454907295,1231,"OPC",17.3,"PFC","P5","Fluidigm C1","h1",NA,"Female","ExN1_4",121.1,"ExN","OPC","Cortex","All","ExN","ExN1_4","Neuro"
"126","S26.B3","Sample15",875831.841387708,3190,"IPC-nEN1",17.3,"PFC","P5","Fluidigm C1","h1",NA,"Female","ExN1_4",121.1,"ExN","IPC-nEN1","Cortex","All","ExN","ExN1_4","Neuro"
"127","S26.C3","Sample15",861828.031640592,1838,"nEN-late",17.3,"PFC","P5","Fluidigm C1","h1",NA,"Female","ExN1_4",121.1,"ExN","nEN-late","Cortex","All","ExN","ExN1_4","Neuro"
